,total,data,pde,border
0,0.1575234357267618,0.27211850754916667,0.042928362702950834,0.823775954246521
1,0.06185267448425293,0.11276501923799515,0.010940329870209098,0.4970361837744713
2,0.0570225678011775,0.10735072709619999,0.0066944086737930775,0.32883543238043783
3,0.05521841112524271,0.10526344940066337,0.005173372880090028,0.25729446709156034
4,0.05400501184165478,0.10364772878587246,0.004362295111641288,0.20473745286464692
5,0.053289325907826424,0.1027217610180378,0.0038568910118192434,0.17121480271220207
6,0.052688838168978694,0.10210994660854339,0.0032677294802851975,0.14873386651277543
7,0.052317213863134385,0.10172562755644321,0.0029088004934601486,0.13154377974569798
8,0.05203970793634653,0.10146702654659748,0.002612389532150701,0.1183268429338932
9,0.05192168675363064,0.10133802995085717,0.002505343846278265,0.10950517930090427
10,0.051487014703452585,0.1010506297647953,0.0019233995361719282,0.10268875576555729
11,0.051320954859256744,0.10091131173074246,0.001730598077410832,0.09591923616826534
12,0.051289308220148086,0.10088894322514534,0.0016896733152680099,0.09233678847551346
13,0.05124884903430939,0.10085378542542457,0.001643912991276011,0.08926220178604126
14,0.05116983689367771,0.10078171990811825,0.001557953809387982,0.08580878756940365
15,0.05110440846532583,0.10073584377765656,0.0014729732583509758,0.08355929389595985
16,0.05100101429969072,0.10065798804163933,0.0013440406048903241,0.08102942511439323
17,0.05114912685006857,0.10074209898710251,0.00155615474563092,0.0803836277127266
18,0.051078231260180476,0.10069171652197838,0.0014647463290020824,0.07854079455137253
19,0.05092151004821062,0.10063041366636753,0.0012126060872105881,0.07855458371341228
20,0.050802154578268525,0.10050833344459534,0.001095975487260148,0.07554473623633384
21,0.05105291966348886,0.10066000655293465,0.0014458326180465518,0.07599363692104816
22,0.05073399767279625,0.10045396886765957,0.0010140264767687767,0.07386246010661125
23,0.05097521707415581,0.10060794740915298,0.0013424867804860696,0.0745834081992507
24,0.05087312363088131,0.10053862079977989,0.0012076265591895207,0.07388618562370539
25,0.05077979531139135,0.10047164417803288,0.0010879464657045901,0.07285648718476295
26,0.050782722383737565,0.10048504434525966,0.0010803999460767954,0.07245598439127207
27,0.05082248654216528,0.10048695765435696,0.00115801541833207,0.07207212921231985
28,0.05075094740837813,0.10044535800814629,0.001056536675314419,0.07151265017688274
29,0.050835070423781874,0.100480947047472,0.0011891944223316386,0.07163801703602075
30,0.05083815935999155,0.10047362662851811,0.0012026920972857623,0.07095762260258198
31,0.0507395538687706,0.10044551983475686,0.0010335877235047519,0.0715135158598423
32,0.05072767030447722,0.10038555525243283,0.001069785433355719,0.07001685656607151
33,0.050760222040116786,0.10039707854390144,0.0011233653308590874,0.06998527701944113
34,0.05062762022018433,0.10030280336737633,0.0009524367435369641,0.06925793454051017
35,0.050825414769351485,0.10045047476887703,0.001200354648171924,0.07079917173832655
36,0.05060812033712864,0.10027782954275608,0.0009384109132224694,0.06856423355638981
37,0.05061663094907999,0.1002728022634983,0.0009604597860015929,0.06835966952145099
38,0.05068950183689594,0.10031791761517525,0.001061086072586477,0.06898485481739045
39,0.050800858065485954,0.10036125138401986,0.0012404652481200174,0.06901239834725857
40,0.0505424939468503,0.10019987232983113,0.0008851157955359668,0.06784706637263298
41,0.05058155454695225,0.1002152244001627,0.0009478845080593601,0.06776855677366257
42,0.050709243789315225,0.10032342657446862,0.0010950608173152432,0.06890254631638527
43,0.0504921692609787,0.10014166176319123,0.0008426766603952273,0.0668222850933671
44,0.050698275715112685,0.10025713354349136,0.0011394178826594726,0.06786194149404765
45,0.05055137522518635,0.10016903445124627,0.000933716264553368,0.06707485813647508
46,0.05048596914857626,0.10011365115642548,0.000858287392766215,0.06647128380835056
47,0.050698875188827514,0.10024413898587227,0.0011536112893372774,0.0675540591403842
48,0.050531460642814635,0.10012810222804547,0.0009348187706200406,0.06634766913950443
49,0.05052218373864889,0.10012022271752358,0.0009241445240331813,0.06655742838978768
